titre,entreprise,contrat,lieu,salaire_brut_texte,experience,statut,metier,secteur,etudes,teletravail,url_source,salaire_min,salaire_max
Ingénieur informatique F/H,Otteo,CDI,Lens - 62,38 - 48 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur en études et développement informatiques,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177778749W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,38.0,48.0
Technicien informatique F/H,ALVA CONSULTING,CDI,Lézat-sur-Lèze - 09,33 - 40 k€ brut annuel,Minimum 5 ans,Agent de maîtrise / Technicien,Responsable informatique,TRAVAUX DE MENUISERIE MÉTALLIQUE ET SERRURERIE,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834156W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,33.0,40.0
Technicien informatique F/H,FUSION RH,CDI,Vaugneray - 69,A négocier,Minimum 2 ans,Agent de maîtrise / Technicien,Responsable informatique,FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177817842W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,,
Chef de projet informatique F/H,HARRY HOPE,CDI,Dijon - 21,35 - 45 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Chef de projet informatique,AUTRES ACTIVITÉS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177763511W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,35.0,45.0
Technicien informatique F/H,AIR CORSICA,CDI,,28 - 28 k€ brut annuel,Minimum 3 ans,Agent de maîtrise / Technicien,Chef de projet informatique,TRANSPORTS AÉRIENS DE PASSAGERS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177837101W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,28.0,28.0
Technicien Informatique - F/H,SOCOPA,CDI,Évron  - 53,27 - 28 k€ brut annuel,Tous niveaux d'expérience acceptés,Agent de maîtrise / Technicien,,TRANSFORMATION ET CONSERVATION DE LA VIANDE DE BOUCHERIE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177805021W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,27.0,28.0
Technicien Informatique F/H,CARREVOLUTIS,CDD et Alternance - Contrat d'apprentissage   de 12 mois,Fougères - 35,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Métrologue,PROGRAMMATION INFORMATIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177755891W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,,
Technicien informatique F/H,CARREVOLUTIS,CDI,Valbonne - 06,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Métrologue,PROGRAMMATION INFORMATIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177860891W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,,
Ingénieur en informatique F/H,VILLE DE PARIS,CDI,Paris 04 - 75,A partir de 37 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur public / Armées,Ingénieur en études et développement informatiques,ADMINISTRATION PUBLIQUE GÉNÉRALE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177799116W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,37.0,37.0
RESPONSABLE INFORMATIQUE F/H,Saica Pack,CDI,Bernos-Beaulac - 33,A négocier,Minimum 3 ans,Cadre du secteur privé,Responsable informatique,FABRICATION DE PAPIER ET DE CARTON,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177810215W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,,
Auditeur informatique F/H,Fives Group,CDI,Lorient - 56,A négocier,Minimum 3 ans,Cadre du secteur privé,Ingénieur sécurité informatique,CONCEPTION D'ENSEMBLE ET ASSEMBLAGE SUR SITE INDUSTRIEL D'ÉQUIPEMENTS DE CONTRÔLE DES PROCESSUS INDUSTRIELS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177798810W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,,
Ingénieur support informatique F/H,Adsearch,CDI,Oullins-Pierre-Bénite - 69,33 - 40 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur de maintenance informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177747362W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,33.0,40.0
Technicien Informatique Print F/H,ABIL RESSOURCES,CDI,Wambrechies - 59,24 - 25 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Directeur de projets informatiques,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177355644W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,24.0,25.0
Ingénieur Bio-Informatique F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Paris 13 - 75,46 - 48 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,,FABRICATION DE PRODUITS PHARMACEUTIQUES DE BASE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177808971W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,46.0,48.0
Développeur Concepteur Informatique F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Malville - 44,34 - 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177802148W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,34.0,40.0
Ingénieur en Informatique Industrielle F/H,Technord,CDI,Lille - 59,A partir de 35 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,Ingénieur informatique industrielle,CONCEPTION D'ENSEMBLE ET ASSEMBLAGE SUR SITE INDUSTRIEL D'ÉQUIPEMENTS DE CONTRÔLE DES PROCESSUS INDUSTRIELS,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177799287W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,35.0,35.0
consultant projets informatiques F/H,TX2 CONCEPT,CDI,Olivet - 45,A partir de 34 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177861014W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,34.0,34.0
Technicien Informatique F/H,CORDON ELECTRONICS,CDI,Dinan - 22,A négocier,Minimum 3 ans,Cadre du secteur privé,Directeur de projets informatiques,RÉPARATION D'ÉQUIPEMENTS DE COMMUNICATION,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177778341W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,,
Technicien support informatique F/H,AMILTONE,CDI,Lille - 59,A partir de 25 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177860976W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,25.0,25.0
Ingénieur Programmation Informatique F/H,CLEEVEN LI,CDI,Lyon 06 - 69,30 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur en études et développement informatiques,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834814W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,30.0,45.0
Technicien support Informatique F/H,INFORCA S.A.M,CDI,Marseille 01 - 13,32 - 48 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur de maintenance informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177837027W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,32.0,48.0
Responsable informatique & téléphonie F/H,NIT Recrutement,CDI,Sorgues - 84,28 - 32 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177764579W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,28.0,32.0
Chef de projet Informatique F/H,NEXTGEN RH,CDI,Nice - 06,40 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chargé de recrutement,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846216W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,40.0,45.0
Technicien support informatique F/H,Log's,CDI,Lesquin - 59,A partir de 25 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,,ENTREPOSAGE ET STOCKAGE NON FRIGORIFIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177857007W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,25.0,25.0
Automaticien - Informatique industrielle F/H,Automatique et Industrie,CDI,Aix-en-Provence - 13,37 - 39 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177779884W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,37.0,39.0
INGENIEUR RESEAUX INFORMATIQUE - F/H,GESER BEST,CDI,Cestas - 33,33 - 45 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur réseaux,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177770582W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,33.0,45.0
Responsable exploitation informatique F/H,Sabena Technics,CDI,Mérignac - 33,A partir de 55 k€ brut annuel,Minimum 10 ans,Cadre du secteur privé,Responsable de production informatique,CONSTRUCTION AÉRONAUTIQUE ET SPATIALE,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177833976W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,55.0,55.0
Chef de projet informatique F/H,Hays France,CDI,Selles-sur-Cher - 41,35 - 40 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Chef de projet informatique,AUTRES ACTIVITÉS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177811290W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,35.0,40.0
Chef de Projet Informatique F/H,Synanto,CDI,Montpellier - 34,45 - 50 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177852873W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,45.0,50.0
Commercial.e informatique F/H,Koesio,CDI,Béziers - 34,22 - 65 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur d'affaires en informatique,"COMMERCE DE DÉTAIL D'ORDINATEURS, D'UNITÉS PÉRIPHÉRIQUES ET DE LOGICIELS EN MAGASIN SPÉCIALISÉ",,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177770075W?motsCles=Informatique&page=1&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,22.0,65.0
Responsable technique informatique F/H,TK Elevator France,CDI,Angers - 49,55 - 60 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Responsable informatique,AUTRES TRAVAUX D'INSTALLATION NCA,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177757997W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,55.0,60.0
Chef de projet informatique F/H,6   CDI,CDI via le cabinet de recrutement GEC pour une grande entreprise,Toulon - 83,55 - 58 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177797825W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,55.0,58.0
Chef de projet informatique F/H,7   CDI,CDI via le cabinet de recrutement GEC pour une grande entreprise,Paris 01 - 75,55 - 62 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177797855W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,55.0,62.0
Chef de projet informatique F/H,4   CDI,CDI via le cabinet de recrutement GEC pour une grande entreprise,Rennes - 35,50 - 55 k€ brut annuel,Minimum 6 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177797745W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,50.0,55.0
Chargé de paramétrage informatique F/H,Lynx RH Lyon Ouest,Mission d'intérim   de 11 mois,Besançon - 25,25 - 30 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur de maintenance informatique,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177762777W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,25.0,30.0
Développement Informatique Industrielle F/H,CORIS INNOVATION,CDI,Annecy - 74,A partir de 40 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177871850W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,40.0,40.0
Analyste Informatique et DevOps F/H,NEXTGEN RH,CDI,Antibes - 06,38 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846210W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,38.0,45.0
Chef de Projet Informatique F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Bourg-en-Bresse - 01,45 - 50 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,Chef de projet informatique,ADMINISTRATION PUBLIQUE GÉNÉRALE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177857965W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,45.0,50.0
Chef de projet informatique F/H,IPgarde,CDI,Alixan - 26,A partir de 38 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177846768W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,38.0,38.0
Responsable Informatique F/H,Non spécifié (Confidentiel),CDI,Marly - 59,50 - 55 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177792498W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,50.0,55.0
Responsable Informatique F/H,Non spécifié (Confidentiel),CDI,Bonneuil-sur-Marne - 94,50 - 60 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177760958W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,50.0,60.0
Architecte Système Informatique F/H,PB SOLUTIONS,CDI,Saint-Cloud - 92,42 - 57 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Architecte développement,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177827063W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,42.0,57.0
Responsable d’Exploitation Informatique F/H,NOVACEL,CDI,Rouen - 76,45 - 55 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Responsable de production informatique,FABRICATION DE PRODUITS DE CONSOMMATION COURANTE EN MATIÈRES PLASTIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834453W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,45.0,55.0
Chef de projet informatique F/H,Lynx RH Lyon Est,CDI,Lyon 01 - 69,30 - 40 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Chef de projet informatique,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834991W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,30.0,40.0
Développeur informatique WINDEV F/H,Domidep,CDI,L'Isle-d'Abeau - 38,50 - 60 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Développeur,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177826993W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,50.0,60.0
Responsable Informatique F/H,Non spécifié (Confidentiel),CDI,Fresnes - 94,48 - 60 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177791371W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,48.0,60.0
Développeur informatique F/H,Non spécifié (Confidentiel),CDI,Roanne - 42,A partir de 25 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Développeur,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177871093W?motsCles=Informatique&page=2&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,25.0,25.0
